"35061","Henry Kuttner"
"35060","Joseph Ratner"
"3726","Philip E. B. (Philip Edward Bertrand) Jourdain"
"3727","James Francis Dwyer"
"3728","W. D. (William Dorset) Fellowes"
"3729","William Archer"
"35069","Rowland George Allanson-Winn Headley"
"36399","Roger Pocock"
"3720","Teachers of the School Street Universalist Sunday School. Boston"
"3721","Charles John Griffiths"
"3722","James Cox"
"3725","A. H. (Augustus Henry) Beesly"
"47040","Aaron L. Kolom"
"36380","Roscoe Wilfred Thatcher"
"36381","Lawrence Radiation Laboratory"
"36382","Lee Wilson Dodd"
"36383","J. H. (Joseph Henry) Shorthouse"
"36384","Elisha Gray"
"36386","Hugh A. Bodine"
"36387","Florence Merriam Bailey"
"47037","John Pederson"
"35054","Harold W. (Harold William) McCauley"
"35053","Arthur Brown"
"35052","Canada. Post Office Department"
"35051","Franklin Dexter"
"2405","Michael Scott"
"3738","George Frisbie Whicher"
"2404","Theodore Martin"
"2403","F. V. N. (Franklin Verzelius Newton) Painter"
"2402","Luigi Capuana"
"2400","Richard Bradley"
"35058","Thomas Stack"
"35057","Richard Mead"
"36388","W. T. (Walter Terence) Stace"
"47034","Christopher Langman"
"3730","Anna Katharina Emmerich"
"36389","Henry S. (Henry Sheldon) Fitch"
"47035","Nicholas Mellen"
"3731","Wadsworth Camp"
"3732","Gelett Burgess"
"3733","Edgcumbe Staley"
"3734","Harvey Riley"
"2408","Aimé Bonpland"
"2407","Emilie K. (Emilie Kip) Baker"
"3736","Amy Le Feuvre"
"2406","Titus Maccius Plautus"
"36370","C. V. (Charles Vernon) Boys"
"36371","John S. Trecartin"
"36372","Nathaniel Orr"
"36373","Robert J. Sawyer"
"36375","Fairfax T. (Fairfax Throckmorton) Proudfit"
"36376","Joan Clark"
"35045","Griswold Tyng"
"35044","Arthur Mayger Hind"
"35043","Berdmore Compton"
"35041","Robert G. Webb"
"35040","Jim Harmon"
"3748","Francis L. (Francis Lister) Hawks"
"2416","John Van der Zee Sears"
